"","model_names","y90","y70","frwrd_prd","y30","y10"
"1","PCR",-13.2859373711973,-0.95365991965242,7.57155562732584,16.0967711743041,28.429048625849
"2","PCR-BC",3.90788024174608,5.77802009368366,7.57155562732584,9.92178667050988,14.6696987418966
"3","PCQR",-6.39212853541973,8.66602070122709,10.6111549708822,14.1990648591688,32.8256349346963
"4","PCANN",0.629500328540804,11.980018308826,19.8265505273872,27.6730827459485,39.0236007262337
"5","PCANN-BC",10.3127747223139,15.1781704998059,19.8265505273872,25.8984411092908,38.1163389158456
"6","PCMCQRNN",0,0,2.60968804473686,10.9820553906057,19.3547542993615
"7","PCSVM",-6.80270083739131,2.98545783621029,9.75194219632539,16.5184265564405,26.3065852300421
"8","PCSVM-BC",6.12240908285982,8.06227965401437,9.75194219632539,11.7957004031993,15.5330246522942
"9","PCRF",-5.09334390504016,4.10228250548021,10.4591535333333,16.8160245611865,26.0116509717068
"10","PCRF-BC",6.51087770246557,8.61699385103382,10.4591535333333,12.6951145702273,16.8015572374243
