"","year","prd_PCMCQRNN","res_PCMCQRNN","prd_PCMCQRNN_LOOCV","res_PCMCQRNN_LOOCV","obs","y90_PCMCQRNN","y70_PCMCQRNN","y30_PCMCQRNN","y10_PCMCQRNN","Ymod_PCMCQRNN_1","Ymod_PCMCQRNN_2","Ymod_PCMCQRNN_3"
"result.1",1986,23.9740622648552,-9.06193773514481,23.5558769065535,-9.48012309344653,33.036,7.18759753996227,15.5750873771308,32.3830485117226,40.8005653449318,0.333333333333333,0.761904761904762,1
"result.2",1987,50.9266612062245,0.26266120622445,52.713912815922,2.04991281592204,50.664,34.0818005599179,42.5008594032711,59.3577132732117,67.7925191787357,0,0.142857142857143,1
"result.3",1988,53.3869449683837,19.2809449683837,53.884553547699,19.778553547699,34.106,36.5382754392277,44.9594563356903,61.819247443752,70.2548664474596,0,0.0952380952380952,1
"result.4",1989,12.240034737344,3.47373439755216e-05,12.0406982512336,-0.199301748766429,12.24,0,3.85751710550954,20.6346209413995,29.0398051265379,0.571428571428571,1,1
"result.5",1990,32.4744894210214,16.8274894210214,32.7015262410009,17.0545262410009,15.647,15.6663108609103,24.0654024900372,40.89209080978,49.3167197795696,0.142857142857143,0.571428571428571,1
"result.6",1991,55.3083602139115,-42.2686397860885,54.0167261566865,-43.5602738433135,97.577,38.4568931954429,46.8796428933248,63.741550390804,72.1777154785344,0,0.0476190476190476,1
"result.7",1992,65.4897035028151,-50.7642964971849,64.6587183311928,-51.5952816688072,116.254,48.6260064482753,57.0557736547616,73.9262975210052,82.3640553428989,0,0,1
"result.8",1993,94.9649316413838,16.6469316413838,109.050501050659,30.7325010506588,78.318,78.090451999456,86.5282309399614,103.399053661389,111.829098391886,0,0,0.952380952380952
"result.9",1994,27.5720951003129,8.95109510031292,27.8459502743378,9.22495027433776,18.621,10.7760688638071,19.1686543713183,35.9849142020968,44.4056281893995,0.238095238095238,0.666666666666667,1
"result.10",1995,41.2077499169847,1.51774991698473,45.8039049157264,6.11390491572644,39.69,24.3804254327064,32.7898582607655,49.6326133187989,58.0629564369404,0,0.380952380952381,1
"result.11",1996,14.8883911517117,6.00439115171174,15.0558730675881,6.17187306758808,8.884,0,6.50190597240369,23.2864816105731,31.6947042825532,0.523809523809524,0.952380952380952,1
"result.12",1997,43.5597847254414,0.105784725441424,44.2569212115804,0.802921211580383,43.454,26.7278519881541,35.1397963000143,51.9863286947839,60.4179349854318,0,0.333333333333333,1
"result.13",1998,65.5833541692823,-19.3896458307177,63.0840205631571,-21.8889794368429,84.973,48.7195648779891,57.1493865136791,74.0199693464823,82.4577316637923,0,0,1
"result.14",1999,3.00751727754591,-7.16348272245409,4.14140457307188,-6.02959542692812,10.171,0,0,11.388728210969,19.782156506331,0.80952380952381,1,1
"result.15",2000,0.833107857530813,-8.17389214246919,0.858045279624257,-8.14895472037574,9.007,0,0,9.21090658640611,17.6013030068337,0.857142857142857,1,1
"result.16",2001,44.6034727195157,10.5244727195157,46.5714419515388,12.4924419515388,34.079,27.7695696470793,36.1825911961766,53.0307250138665,61.4628543535427,0,0.285714285714286,1
"result.17",2002,12.8910065865045,4.06900658650448,13.2089931739519,4.38699317395195,8.822,0,4.50750004415293,21.2864678809272,29.6924127182918,0.571428571428571,1,1
"result.18",2003,28.2011778145141,8.40217781451407,28.3652306028275,8.56623060282755,19.799,11.4035356945116,19.7969842612114,36.6146389732418,45.0358837952307,0.238095238095238,0.666666666666667,1
"result.19",2004,30.9262237352542,-15.2057762647458,30.8367997153111,-15.2952002846889,46.132,14.1217739912592,22.518865317207,39.3423696248835,47.7658171412509,0.19047619047619,0.619047619047619,1
"result.20",2005,43.9905408507665,-10.7794591492335,43.5779391522463,-11.1920608477537,54.77,27.157789354793,35.5701810412615,52.417379950203,60.8492049073571,0,0.333333333333333,1
"result.21",2006,0.727629379882494,-8.49537062011751,0,-9.223,9.223,0,0,9.10526004447974,17.4955068391382,0.857142857142857,1,1
"result.22",2007,41.3683336542028,8.35133365420285,42.3429966847313,9.32599668473128,33.017,24.5406871449281,32.9502951368642,49.793315510239,58.2237485916043,0,0.380952380952381,1
"result.23",2008,22.5675108802377,-7.96948911976228,21.4194057783893,-9.11759422161074,30.537,5.78493180904485,14.1703558689546,30.9749244373825,39.3911168808463,0.380952380952381,0.80952380952381,1
"result.24",2009,15.0143158670714,0.596315867071429,15.4215950031266,1.00359500312657,14.418,0,6.62764571308642,23.4125692563787,31.820932699447,0.523809523809524,0.952380952380952,1
"result.25",2010,85.5184054396966,-8.32359456030339,70.8674580166815,-22.9745419833185,93.842,68.643393269335,77.0805980347598,93.955314254343,102.389823888295,0,0,1
"result.26",2011,7.76205750080133,-1.52594249919867,7.82598716733246,-1.46201283266754,9.288,0,0,16.1503813726699,24.5500895393216,0.666666666666667,1,1
"result.27",2012,33.7876672423251,17.1646672423251,34.934964913178,18.311964913178,16.623,16.9764050069848,25.3771538086925,42.2064634537338,50.6320547188862,0.0952380952380952,0.523809523809524,1
"result.28",2013,19.4079817001493,0.372981700149314,19.4491477679267,0.414147767926668,19.035,2.63443390591456,11.0150664786422,27.8117101590805,36.2247748032346,0.428571428571429,0.857142857142857,1
"result.29",2014,2.73534255881917,-10.3916574411808,2.54896259701387,-10.5780374029861,13.127,0,0,11.1161318522512,19.5091861374146,0.80952380952381,1,1
"result.30",2015,10.3486116608428,-12.1453883391572,10.0911798782446,-12.4028201217554,22.494,0,1.9690179313241,18.7406044511556,27.1435275420306,0.619047619047619,1,1
