"","year","prd_PCANN","res_PCANN","prd_PCANN_LOOCV","res_PCANN_LOOCV","obs","y90_PCANN","y70_PCANN","y30_PCANN","y10_PCANN","Ymod_PCANN_1","Ymod_PCANN_2","Ymod_PCANN_3"
"result.1",1986,26.0703945728721,-10.9352154271279,25.0890954241891,-11.9165145758109,37.00561,16.1215599628396,22.003944233046,30.1368449126982,36.0192291829046,0.381018070589766,0.884907462808717,0.99999889370724
"result.2",1987,23.9960455661091,0.961985566109089,24.8597483999208,1.82568839992075,23.03406,14.0472109560766,19.929595226283,28.0624959059352,33.9448801761416,0.392328771512539,0.890545763405111,0.999999044063854
"result.3",1988,22.6870222862069,4.88339228620689,23.5030120789649,5.69938207896494,17.80363,12.7381876761744,18.6205719463808,26.753472626033,32.6358568962394,0.460796837106932,0.919879854334648,0.999999604046252
"result.4",1989,22.0368070475473,-4.18269295245265,22.4953916664542,-3.72410833354577,26.2195,12.0879724375149,17.9703567077213,26.1032573873734,31.9856416575798,0.512530641576689,0.937498105052914,0.999999798137094
"result.5",1990,25.5249004256277,2.03267042562769,24.4523069528834,0.960076952883359,23.49223,15.5760658155952,21.4584500858016,29.5913507654538,35.4737350356602,0.412642795707911,0.900067867706091,0.999999264095649
"result.6",1991,20.0075707080433,2.17418070804328,21.6773850642432,3.84399506424323,17.83339,10.0587360980108,15.9411203682172,24.0740210478694,29.9564053180758,0.554414488805198,0.949446757451551,0.999999884570769
"result.7",1992,21.5798623311155,2.00101233111551,22.2387081232082,2.65985812320823,19.57885,11.631027721083,17.5134119912894,25.6463126709416,31.528696941148,0.525710320467212,0.941463828438186,0.999999830414121
"result.8",1993,18.1304500021177,-7.2599799978823,17.8423467014729,-7.54808329852714,25.39043,8.18161539208523,14.0639996622916,22.1969003419438,28.0792846121502,0.735980721078506,0.983566053266575,0.999999992724733
"result.9",1994,18.0348176475178,1.08208764751783,19.5037490706836,2.55101907068356,16.95273,8.08598303748535,13.9683673076918,22.1012679873439,27.9836522575503,0.661630015971781,0.972546166563304,0.999999975193741
"result.10",1995,24.8209463119376,4.82756631193764,25.5279890696401,5.53460906964008,19.99338,14.8721117019052,20.7544959721116,28.8873966517637,34.7697809219701,0.359661553266416,0.873548516700146,0.999998540326297
"result.11",1996,51.5404882020369,-6.68430179796307,45.0717985555025,-13.1529914444975,58.22479,41.5916535920045,47.4740378622109,55.606938541863,61.4893228120694,0.00200251385118644,0.0845540720504923,0.984536560970345
"result.12",1997,62.1684609358573,0.349620935857338,52.5620252650991,-9.25681473490095,61.81884,52.2196263258249,58.1020105960313,66.2349112756834,72.1172955458898,6.07818870489999e-05,0.00963514330790206,0.883531392860127
"result.13",1998,43.1583504566569,6.69025045665692,46.4019475333997,9.93384753339972,36.4681,33.2095158466244,39.0919001168309,47.224800796483,53.1071850666894,0.00114738227694081,0.0609946756627996,0.976517194034531
"result.14",1999,36.1722033798962,-1.68828662010378,33.8300376571658,-4.03045234283417,37.86049,26.2233687698637,32.1057530400702,40.2386537197223,46.1210379899287,0.0764791435086376,0.529307986213567,0.99984489300567
"result.15",2000,39.679636646025,-3.87738335397498,38.4506699714811,-5.10635002851885,43.55702,29.7308020359925,35.613186306199,43.7460869858511,49.6284712560575,0.0214556974865819,0.300876567577971,0.998698940244406
"result.16",2001,21.7035882402101,4.15582824021012,22.6367708874235,5.08901088742348,17.54776,11.7547536301776,17.6371379003841,25.7700385800362,31.6524228502426,0.505264607676039,0.935226049522179,0.999999777906033
"result.17",2002,24.6788381766459,6.47850817664592,28.4224605453758,10.2221305453758,18.20033,14.7300035666135,20.6123878368199,28.745288516472,34.6276727866784,0.231979558610811,0.779452990440514,0.999991591472303
"result.18",2003,22.7540758065404,4.1868058065404,24.9032871806589,6.33601718065885,18.56727,12.8052411965079,18.6876254667143,26.8205261463665,32.7029104165729,0.390174239031205,0.889490944759665,0.999999017119851
"result.19",2004,24.8410459632016,1.6820359632016,26.047450677578,2.88844067757804,23.15901,14.8922113531691,20.7745956233755,28.9074963030277,34.7898805732341,0.33494424297157,0.85912339597413,0.999997981580942
"result.20",2005,17.1409757525249,-2.86430424747506,18.8419232467117,-1.16335675328832,20.00528,7.19214114249246,13.0745254126989,21.207426092351,27.0898103625574,0.692235966637252,0.977512519521406,0.999999984700641
"result.21",2006,43.4483762946234,12.6867162946234,48.6627376231875,17.9010776231875,30.76166,33.499541684591,39.3819259547974,47.5148266344495,53.3972109046559,0.000418151332004372,0.0330458593816465,0.954989440988728
"result.22",2007,33.2586703420752,-1.0652996579248,33.5678616229636,-0.756108377036398,34.32397,23.3098357320427,29.1922200022491,37.3251206819013,43.2075049521077,0.0814512344199482,0.542730162736219,0.999863893482158
"result.23",2008,31.6200674740513,-3.96340252594869,32.1091825835008,-3.47428741649917,35.58347,21.6712328640188,27.5536171342252,35.6865178138774,41.5689020840838,0.11363682120133,0.616109482639557,0.999935501601301
"result.24",2009,26.0184966033424,-8.08927339665764,26.4695040242975,-7.63826597570246,34.10777,16.0696619933099,21.9520462635163,30.0849469431684,35.9673312133748,0.315369640870065,0.846610436144463,0.999997381856913
"result.25",2010,23.9108154992744,1.7613854992744,25.1816356185246,3.03220561852461,22.14943,13.9619808892419,19.8443651594483,27.9772658391005,33.8596501093069,0.376482297451738,0.882574939549941,0.999998826819995
"result.26",2011,33.8659183848084,-5.14896161519156,32.9615266106216,-6.05335338937837,39.01488,23.917083774776,29.7994680449824,37.9323687246345,43.8147529948409,0.0938784014619734,0.573560451182193,0.999899808678519
"result.27",2012,35.0032370810484,-8.2741129189516,34.0130169413201,-9.26433305867986,43.27735,25.0544024710159,30.9367867412223,39.0696874208745,44.9520716910809,0.0731481919101066,0.519919619957687,0.999830190240641
"result.28",2013,32.7443237617365,0.140023761736536,33.4973957400282,0.893095740028166,32.6043,22.7954891517041,28.6778734219105,36.8107741015626,42.693158371769,0.0828282891220214,0.546330030016244,0.999868615108344
"result.29",2014,19.9001053762592,-14.6539446237408,18.5533197065341,-16.0007302934659,34.55405,9.95127076622674,15.8336550364331,23.9665557160853,29.8489399862917,0.705190252740672,0.979428093870974,0.99999998763525
"result.30",2015,36.4020706549555,8.64539065495554,39.5167016186834,11.7600216186834,27.75668,26.4532360449231,32.3356203151295,40.4685209947816,46.350905264988,0.0153114202263734,0.254867884561774,0.997972417042314
