"","year","prd_PCSVM","res_PCSVM","prd_PCSVM_LOOCV","res_PCSVM_LOOCV","obs","y90_PCSVM_BCbased","y70_PCSVM_BCbased","y30_PCSVM_BCbased","y10_PCSVM_BCbased","Ymod_PCSVM_BC_1","Ymod_PCSVM_BC_2","Ymod_PCSVM_BC_3"
"1",1986,30.2255226189611,-6.7800873810389,28.9676671676832,-8.0379428323168,37.00561,21.4779970062471,26.4122738585179,34.3841125364859,41.040024400965,0.181305205723422,0.75608947672139,0.999652032281573
"2",1987,25.807269203019,2.77320920301904,25.8456244740734,2.81156447407344,23.03406,17.9715405043032,22.3789090883065,29.5641690372442,35.6093985046458,0.318410937319745,0.871189906793075,0.99993577997046
"3",1988,23.6258064327827,5.82217643278265,25.7557281183901,7.95209811839011,17.80363,16.2587101750939,20.3955545374293,27.1755670609427,32.9052422876647,0.323108379671979,0.873927861871088,0.999939119550192
"4",1989,22.1182433371254,-4.10125666287464,22.2698273852204,-3.94967261477957,26.2195,15.0831804779346,19.0284867892482,25.5209283412673,31.0262549762656,0.529877539298017,0.953437902542549,0.999993971087943
"5",1990,26.4494139281261,2.9571839281261,26.4637167869414,2.97148678694141,23.49223,18.4782031529109,22.9638188620056,30.2661070598699,36.4023399489316,0.287204187781874,0.8514355050927,0.999907992328484
"6",1991,21.7437697110717,3.91037971107175,21.749110548625,3.915720548625,17.83339,14.7922989223563,18.6894024124689,25.1093835929455,30.5581212353097,0.563304723725389,0.961094778671184,0.99999591978056
"7",1992,21.8188274312546,2.23997743125463,21.8614442390522,2.28259423905222,19.57885,14.8505649954024,18.7573506673107,25.1918894646652,30.6519980500614,0.556079295201156,0.959526448213962,0.999995556369536
"8",1993,19.5663299220341,-5.82410007796586,16.9669595270863,-8.42347047291367,25.39043,13.1104621479707,16.7219420854871,22.7117699553483,27.8240524637827,0.842552369669764,0.995462081049068,0.99999994414972
"9",1994,18.0289544112688,1.07622441126875,18.033660166754,1.08093016675403,16.95273,11.933711137047,15.3375458250687,21.0137396217151,25.880104409404,0.789289448721564,0.991982964788703,0.99999983507081
"10",1995,25.6890405613935,5.69566056139353,25.7434071182526,5.75002711825257,19.99338,17.8783741873111,22.2712699564412,29.4348751195064,35.4632595275539,0.323755270000951,0.87430041966645,0.999939564874963
"11",1996,52.4010701425062,-5.82371985749376,47.1840672268248,-11.0407227731752,58.22479,39.5996471977875,46.88329778016,58.3296767342287,67.6615128781041,0.00139034501291431,0.0827490503520536,0.905000406322044
"12",1997,55.9950560870936,-5.82378391290644,50.7422251289861,-11.0766148710139,61.81884,42.595442442134,50.2264735322371,62.1831646883095,71.9057184322045,0.000431330177602455,0.0420224195165356,0.833905085561146
"13",1998,42.2964383680641,5.82833836806409,42.4686983631887,6.00059836318869,36.4681,31.2540856943588,37.5171569982535,47.4596958637239,55.6370384007623,0.00600015515546594,0.181951177468541,0.963228206773556
"14",1999,33.8834673606299,-3.9770226393701,33.8895965552823,-3.9708934447177,37.86049,24.4133940527616,29.7656797282159,38.3592744954977,45.4964105360629,0.061520381644639,0.524736806237577,0.99710499664507
"15",2000,45.3693192802682,1.81229928026818,45.4625945556483,1.90557455564825,43.55702,33.7787828967566,40.3597369380636,50.7714714920039,59.3095452525935,0.00240127682459729,0.112029318855023,0.930775325350597
"16",2001,23.3758976205098,5.82813762050976,25.2175401741535,7.66978017415348,17.54776,16.0633601206504,20.1687236874574,26.9015097531011,32.5943663072561,0.352037852906166,0.889591094416299,0.999956046491947
"17",2002,24.0270870578067,5.82675705780666,24.2963455954116,6.0960155954116,18.20033,16.5727724103071,20.7599486160142,27.6154370985032,33.4039349660937,0.40452942860377,0.913486319503231,0.999975457054134
"18",2003,22.6781468049847,4.1108768049847,22.6912655760191,4.12399557601913,18.56727,15.5189427233648,19.5358481329149,26.1358526483884,31.725137755892,0.503034383102292,0.946495853550973,0.999991807092744
"19",2004,24.5394227087769,1.38041270877688,24.6396942251337,1.48068422513373,23.15901,16.9744307149044,21.225487223108,28.1767158710965,34.039794757995,0.384554358104929,0.905010281650979,0.999969387199932
"20",2005,17.8400241210241,-2.16525587897589,17.8734694064282,-2.13181059357176,20.00528,11.7897651874776,15.1677101192599,20.8047409531055,25.6403603673211,0.797758482329259,0.992611983726155,0.999999859092287
"21",2006,36.589801501479,5.82814150147895,40.6282751327787,9.86661513277872,30.76166,26.6013817811532,32.2537651067293,41.2926461019669,48.7737008175246,0.0102861588670125,0.238368056983501,0.976474170063214
"22",2007,40.1532273441554,5.82925734415539,40.7902908322468,6.46632083224681,34.32397,29.5009155786693,35.537907317814,45.1462733682174,53.0663730552441,0.00981715703446202,0.23297552868704,0.975484042917366
"23",2008,29.7568585612149,-5.8266114387851,26.2843010817204,-9.29916891827957,35.58347,21.1039028108836,25.9834979269406,33.8738613404731,40.4666200122985,0.296063470692304,0.857335467662718,0.999916998750951
"24",2009,29.235142251909,-4.87262774809097,29.2649453194723,-4.8428246805277,34.10777,20.6880304721916,25.5064333483598,33.3055802810129,39.8276081836076,0.170934054808561,0.743347540295749,0.999597539587425
"25",2010,25.6907221364502,3.5412921364502,25.7221255019258,3.57269550192577,22.14943,17.8796990384576,22.2728008019528,29.4367142014644,35.4653383968267,0.324874355100953,0.87494238984532,0.999940327168023
"26",2011,39.6326644468258,0.61778444682583,39.6152210530901,0.600341053090069,39.01488,29.0761036052007,35.0576083638932,44.5838941190583,52.4407664688431,0.013722402631461,0.273936139126446,0.981978644701358
"27",2012,37.4429331806182,-5.83441681938184,36.492771980517,-6.78457801948296,43.27735,27.2937227454423,33.0392313737294,42.216121136588,49.803653513484,0.0320104183548728,0.402123746106178,0.992848117280308
"28",2013,38.2694156713195,5.66511567131946,38.2313209194232,5.62702091942322,32.6043,27.9655692681733,33.8006536203517,43.1102186286547,50.800064861826,0.0201343364095429,0.327509231566745,0.987794412049424
"29",2014,28.7250401562549,-5.82900984374506,13.5867632106589,-20.9672867893411,34.55405,20.2820085616269,25.0402476707001,32.7496686090008,39.2020932346837,0.955724172874778,0.999528947439051,0.999999999041365
"30",2015,33.5821412590167,5.82546125901667,35.4262607907251,7.66958079072507,27.75668,24.1705980711025,29.4890089335548,38.0322851744627,45.1305208758196,0.0420939606204507,0.451169824081438,0.994983508279785
